Token,bible_1.txt,bible_10.txt,bible_11.txt,bible_12.txt,bible_13.txt,bible_14.txt,bible_15.txt,bible_2.txt,bible_3.txt,bible_4.txt,bible_5.txt,bible_6.txt,bible_7.txt,bible_8.txt,bible_9.txt
a,502,540,578,552,582,475,479,759,547,494,471,267,390,678,921
aaron,52,0,1,1,1,0,2,169,51,9,0,17,8,8,0
aaronites,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
aarons,2,0,0,0,0,0,1,25,2,0,0,0,0,1,0
abaddon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
abagtha,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
abana,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
abarim,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
abase,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1
abased,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
abasing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
abated,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0
abba,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
abda,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
abdeel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
abdi,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
abdiel,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
abdon,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0
abednego,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
abel,8,0,0,1,1,0,2,0,0,1,3,0,0,0,0
abelbethmaachah,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
abelmaim,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
abelmeholah,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
abelmizraim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelshittim,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
abez,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abhor,0,1,3,0,0,1,0,4,3,0,1,0,4,1,1
abhorred,1,2,0,1,0,0,0,2,1,1,2,0,1,5,0
abhorrest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
abhorreth,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
abhorring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
abia,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
abiah,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
abialbon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
abiasaph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abiathar,0,0,0,1,0,0,0,0,0,5,20,4,0,0,0
abiathars,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
abib,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0
abida,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
abidah,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abidan,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
abide,6,5,6,3,13,14,4,2,5,8,5,0,5,6,1
abideth,0,1,0,0,6,1,13,0,1,0,1,0,1,5,1
abiding,0,0,0,1,1,1,1,0,1,2,1,1,0,0,0
